sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores
0,0,0.060235261288071495,38,35,1300
1,0,0.0662010119710305,38,35,1300
2,0,0.06519330569995604,38,35,1300
3,0,0.049478724407163464,38,35,1300
4,0,0.06888198622389421,38,35,1300
5,0,0.0568336143777356,38,35,1300
6,0,0.06256162962289584,38,35,1300
7,0,0.05049178871531825,38,35,1300
8,0,0.051911852679708756,38,35,1300
9,0,0.06181632223025025,38,35,1300
10,0,0.05265768002477402,38,35,1300
11,0,0.060305150886972046,38,35,1300
12,0,0.052803146112562635,38,35,1300
13,0,0.07029141196142466,38,35,1300
14,0,0.04784565035733602,38,35,1300
15,0,0.07756061255723783,38,35,1300
16,0,0.056697841862148116,38,35,1300
17,0,0.05187727737373136,38,35,1300
18,0,0.06359347301804896,38,35,1300
19,0,0.06476634126623843,38,35,1300
20,0,0.07951705924780558,38,35,1300
21,0,0.053235601137364974,38,35,1300
22,0,0.04941269711391663,38,35,1300
23,0,0.06663807892161269,38,35,1300
24,0,0.07182058468449096,38,35,1300
25,0,0.0465146742011865,38,35,1300
26,0,0.04805759133106496,38,35,1300
27,0,0.04520801973944373,38,35,1300
28,0,0.06460643636825385,38,35,1300
29,0,0.06241667550982974,38,35,1300
30,0,0.04059936273836315,38,35,1300
31,0,0.04034960828700521,38,35,1300
32,0,0.07714130320633232,38,35,1300
33,0,0.060994843149957484,38,35,1300
34,0,0.05147897097657522,38,35,1300
35,0,0.04405744677918035,38,35,1300
36,0,0.06820465453787175,38,35,1300
37,0,0.05239725667506197,38,35,1300
38,0,0.05161527325693107,38,35,1300
39,0,0.059774091776298804,38,35,1300
40,0,0.0473358931778033,38,35,1300
41,0,0.06730237215593478,38,35,1300
42,0,0.07427165915440706,38,35,1300
43,0,0.07692431068516492,38,35,1300
44,0,0.04261924433642024,38,35,1300
45,0,0.04677059449434331,38,35,1300
46,0,0.04165191206736227,38,35,1300
47,0,0.0793649712416197,38,35,1300
48,0,0.0791446841673997,38,35,1300
49,0,0.06815441834226033,38,35,1300
50,0,0.060203819939548306,38,35,1300
51,0,0.0544295024817378,38,35,1300
52,0,0.0592675463151309,38,35,1300
53,0,0.0685773849664222,38,35,1300
54,0,0.06480130361291243,38,35,1300
55,0,0.05129635316403527,38,35,1300
56,0,0.040025663310458155,38,35,1300
57,0,0.05307387413004189,38,35,1300
58,0,0.04133819273123047,38,35,1300
59,0,0.06512423615050482,38,35,1300
60,0,0.07622296608803102,38,35,1300
61,0,0.05947985557816337,38,35,1300
62,0,0.0551934998883126,38,35,1300
63,0,0.047318990188502046,38,35,1300
64,0,0.053753373359149335,38,35,1300
65,0,0.05517695136260773,38,35,1300
66,0,0.06974257199538576,38,35,1300
67,0,0.0639359549004726,38,35,1300
68,0,0.06950741544935597,38,35,1300
69,0,0.043659562540152616,38,35,1300
70,0,0.04072524654965138,38,35,1300
71,0,0.05137628275060071,38,35,1300
72,0,0.04717598833138066,38,35,1300
73,0,0.04004006825722782,38,35,1300
74,0,0.07256062847562006,38,35,1300
75,0,0.05400855343186562,38,35,1300
76,0,0.059803272785561606,38,35,1300
77,0,0.06746355577629343,38,35,1300
78,0,0.0542396902528083,38,35,1300
79,0,0.05270254207056037,38,35,1300
80,0,0.05419912506964256,38,35,1300
81,0,0.041970641298412714,38,35,1300
82,0,0.06471891278524645,38,35,1300
83,0,0.0573902433171615,38,35,1300
84,0,0.048286217071527304,38,35,1300
85,0,0.04607030178116013,38,35,1300
86,0,0.05271675790937547,38,35,1300
87,0,0.047935505562805174,38,35,1300
88,0,0.06899138335090534,38,35,1300
89,0,0.04691073881463714,38,35,1300
90,0,0.044280502218494944,38,35,1300
91,0,0.06996094042319823,38,35,1300
92,0,0.05335668443934763,38,35,1300
93,0,0.06918082679571455,38,35,1300
94,0,0.07195529017383087,38,35,1300
95,0,0.057896608706902365,38,35,1300
96,0,0.04496588571635932,38,35,1300
97,0,0.058406481172007495,38,35,1300
98,0,0.05057630080126446,38,35,1300
99,0,0.0734432268201066,38,35,1300
100,0,0.04503227077944305,38,35,1300
101,0,0.06201857557507151,38,35,1300
102,0,0.07220865269603031,38,35,1300
103,0,0.06849515579821884,38,35,1300
104,0,0.06177919806428663,38,35,1300
105,0,0.04277633274048092,38,35,1300
106,0,0.07429633914634833,38,35,1300
107,0,0.05918787317169523,38,35,1300
108,0,0.056830678531191885,38,35,1300
109,0,0.04455636991176069,38,35,1300
110,0,0.06229977043147605,38,35,1300
111,0,0.06421539522306716,38,35,1300
112,0,0.06076254157349637,38,35,1300
113,0,0.06826790021242023,38,35,1300
114,0,0.0689941033307074,38,35,1300
115,0,0.059972753332514506,38,35,1300
116,0,0.046263711416813555,38,35,1300
117,0,0.06483036124741405,38,35,1300
118,0,0.05585787121359414,38,35,1300
119,0,0.06512571603159845,38,35,1300
120,0,0.049575415982677166,38,35,1300
121,0,0.046103369079800754,38,35,1300
122,0,0.04401363447250192,38,35,1300
123,0,0.07843164121716895,38,35,1300
