sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.045,200,38,7600,0.0005615406666206602,0.003,42
0,67,0.045,200,38,7600,9.812743265928723e-09,0.0,109
0,134,0.045,200,38,7600,3.5392814049614184e-07,0.0,176
0,334,0.045,200,38,7600,9.778210521383123e-07,0.0,376
0,201,0.045,200,38,7600,0.005423269016648402,0.001,243
0,268,0.045,200,38,7600,1.7140177127756234e-05,0.0,310
0,1,0.045,200,38,7600,0.037019304035427136,0.011,43
0,68,0.045,200,38,7600,8.683908153373071e-08,0.0,110
0,202,0.045,200,38,7600,1.1235795791889361e-09,0.0,244
0,135,0.045,200,38,7600,1.2351740213830704e-06,0.0,177
0,335,0.045,200,38,7600,0.04678871869048138,0.01,377
0,269,0.045,200,38,7600,0.00013867983905779655,0.0,311
0,2,0.045,200,38,7600,0.19619793762560855,0.023,44
0,69,0.045,200,38,7600,1.601777067490617e-05,0.0,111
0,203,0.045,200,38,7600,0.024067959226182496,0.0,245
0,336,0.045,200,38,7600,8.899703352266404e-06,0.0,378
0,270,0.045,200,38,7600,6.873310360690367e-11,0.0,312
0,136,0.045,200,38,7600,0.08628133826466805,0.008,178
0,3,0.045,200,38,7600,0.0005780405515365249,0.0,45
0,70,0.045,200,38,7600,7.540861865736466e-05,0.0,112
0,204,0.045,200,38,7600,0.13881624700959921,0.017,246
0,137,0.045,200,38,7600,6.73863314324716e-09,0.0,179
0,337,0.045,200,38,7600,0.008865161135161144,0.001,379
0,271,0.045,200,38,7600,1.5431785965074619e-06,0.0,313
0,4,0.045,200,38,7600,1.3017118576704468e-05,0.0,46
0,71,0.045,200,38,7600,0.0008041720398463583,0.003,113
0,205,0.045,200,38,7600,0.2795629947727907,0.034,247
0,5,0.045,200,38,7600,0.00020014266312410567,0.0,47
0,72,0.045,200,38,7600,0.000629151913089614,0.0,114
0,338,0.045,200,38,7600,0.03172650221295426,0.004,380
0,272,0.045,200,38,7600,0.010418244621602167,0.0,314
0,138,0.045,200,38,7600,5.748442845869889e-06,0.0,180
0,206,0.045,200,38,7600,1.5342157758453068e-09,0.0,248
0,339,0.045,200,38,7600,0.0011016198102031963,0.0,381
0,6,0.045,200,38,7600,2.5333579997675584e-11,0.0,48
0,139,0.045,200,38,7600,0.19121093231697722,0.362,181
0,73,0.045,200,38,7600,0.020854855435906,0.0,115
