power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,167,0.0,80,38,3040,0.94386723279852,0.943,209
0,0,834,0.0,80,38,3040,0.5967055681913431,0.855,876
0,0,501,0.0,80,38,3040,0.1586186656324992,0.1,543
0,0,668,0.0,80,38,3040,0.564104474613291,0.604,710
0,0,168,0.0,80,38,3040,0.7290501726112502,0.877,210
0,0,0,0.0,80,38,3040,0.9692233056364944,0.92,42
0,0,835,0.0,80,38,3040,0.0226162248608692,0.004,877
0,0,502,0.0,80,38,3040,0.5106348523898837,0.648,544
0,0,334,0.0,80,38,3040,0.0126141401637488,0.002,376
0,0,836,0.0,80,38,3040,0.1348231923734444,0.076,878
0,0,669,0.0,80,38,3040,0.8628011192806175,0.856,711
0,0,1,0.0,80,38,3040,0.2333598248575356,0.186,43
0,0,837,0.0,80,38,3040,0.8811175808253964,0.947,879
0,0,169,0.0,80,38,3040,0.9629615260182548,0.992,211
0,0,670,0.0,80,38,3040,0.6220399337165148,0.379,712
0,0,503,0.0,80,38,3040,0.1819994660695461,0.168,545
0,0,335,0.0,80,38,3040,0.2002903855746393,0.292,377
0,0,671,0.0,80,38,3040,0.0438417376648151,0.145,713
0,0,2,0.0,80,38,3040,0.7975837746296677,0.519,44
0,0,170,0.0,80,38,3040,0.1356521132796321,0.134,212
0,0,838,0.0,80,38,3040,0.8652205829574218,0.982,880
0,0,504,0.0,80,38,3040,0.9723764998981664,0.991,546
0,0,672,0.0,80,38,3040,0.6430342943402936,0.664,714
0,0,505,0.0,80,38,3040,0.1836556989869746,0.182,547
0,0,336,0.0,80,38,3040,0.3251705444131133,0.287,378
0,0,839,0.0,80,38,3040,0.9699361913634534,0.972,881
0,0,3,0.0,80,38,3040,0.8598970836981075,0.841,45
0,0,171,0.0,80,38,3040,0.9952622013172702,1.0,213
0,0,840,0.0,80,38,3040,0.9681071971530144,0.993,882
0,0,673,0.0,80,38,3040,0.0778675006310413,0.056,715
0,0,506,0.0,80,38,3040,0.919852545331452,0.855,548
0,0,337,0.0,80,38,3040,0.2434335253375246,0.397,379
0,0,172,0.0,80,38,3040,0.687543235759817,0.418,214
0,0,674,0.0,80,38,3040,0.5858597257051443,0.876,716
0,0,507,0.0,80,38,3040,0.6594980159005012,0.615,549
