sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.055,140,38,5320,1.1461093852969242e-06,0.0,42
0,67,0.055,140,38,5320,7.83257669010573e-06,0.0,109
0,201,0.055,140,38,5320,3.729401686990967e-05,0.0,243
0,134,0.055,140,38,5320,0.2157558817423612,0.203,176
0,268,0.055,140,38,5320,9.903370882795524e-07,0.0,310
0,334,0.055,140,38,5320,0.0005511033027827188,0.0,376
0,68,0.055,140,38,5320,3.9279407937767875e-08,0.0,110
0,1,0.055,140,38,5320,4.80371997104511e-08,0.0,43
0,202,0.055,140,38,5320,0.036326662535185884,0.003,244
0,135,0.055,140,38,5320,0.011465158346397301,0.002,177
0,335,0.055,140,38,5320,0.00025734121609155493,0.0,377
0,269,0.055,140,38,5320,8.707927055415473e-06,0.0,311
0,2,0.055,140,38,5320,0.013513381763960086,0.0,44
0,69,0.055,140,38,5320,1.0298331285490587e-05,0.0,111
0,203,0.055,140,38,5320,8.914365434568485e-06,0.0,245
0,336,0.055,140,38,5320,0.03387014661334493,0.029,378
0,136,0.055,140,38,5320,2.202913255290622e-05,0.0,178
0,270,0.055,140,38,5320,7.200232669444227e-08,0.0,312
0,3,0.055,140,38,5320,1.0156195467495029e-07,0.0,45
0,70,0.055,140,38,5320,4.7244747672370835e-08,0.0,112
0,204,0.055,140,38,5320,4.6619881498884834e-05,0.0,246
0,337,0.055,140,38,5320,7.509365430977293e-06,0.0,379
0,137,0.055,140,38,5320,0.003375690949540564,0.0,179
0,271,0.055,140,38,5320,0.014139871345880258,0.009,313
0,4,0.055,140,38,5320,0.0001997137532921365,0.0,46
0,205,0.055,140,38,5320,0.023667867940850067,0.006,247
0,338,0.055,140,38,5320,0.0111572252381266,0.005,380
0,71,0.055,140,38,5320,0.00280073774433509,0.001,113
0,138,0.055,140,38,5320,0.0050634397390485995,0.0,180
0,272,0.055,140,38,5320,0.006688478305752943,0.0,314
0,5,0.055,140,38,5320,0.0001775599225109856,0.0,47
0,206,0.055,140,38,5320,2.986859424157653e-07,0.0,248
0,339,0.055,140,38,5320,3.624506022771164e-09,0.0,381
0,72,0.055,140,38,5320,9.030595817239629e-09,0.0,114
0,139,0.055,140,38,5320,2.657148691731489e-05,0.0,181
0,273,0.055,140,38,5320,4.861833214042539e-10,0.0,315
0,6,0.055,140,38,5320,1.5796554620623366e-09,0.0,48
0,340,0.055,140,38,5320,1.3832979773417326e-05,0.0,382
0,207,0.055,140,38,5320,0.004747857203280606,0.003,249
