trial_id,sim_cordel_id,sim_topic_id,sim_rater_id,cordel_id,topic_id,rater_id,intrusion
0,0,3,0,5,39,221,1
0,0,4,0,4,48,221,1
0,0,6,0,1,32,221,1
0,0,7,0,1,6,221,1
0,0,13,0,0,35,221,1
0,0,14,0,4,45,221,1
0,0,17,0,3,42,221,1
0,0,20,0,1,5,221,0
0,0,28,0,2,40,221,1
0,0,29,0,5,20,221,1
0,0,30,0,2,46,221,0
0,0,31,0,3,35,221,1
0,0,38,0,4,17,221,1
0,0,42,0,3,7,221,1
0,0,45,0,4,0,221,0
0,0,46,0,0,7,221,1
0,0,47,0,0,28,221,1
0,1,54,0,1,28,221,0
0,1,55,0,2,23,221,1
0,1,56,0,4,47,221,1
0,1,58,0,3,41,221,1
0,1,60,0,0,16,221,1
0,1,61,0,0,3,221,1
0,1,62,0,2,18,221,1
0,1,63,0,3,40,221,1
0,1,65,0,3,28,221,0
0,1,66,0,1,22,221,1
0,1,70,0,1,7,221,0
0,1,72,0,4,14,221,1
0,1,74,0,2,12,221,1
0,1,77,0,2,47,221,1
0,1,78,0,0,18,221,0
0,1,82,0,3,13,221,1
0,1,88,0,4,48,221,1
0,1,89,0,4,35,221,0
0,1,92,0,4,0,221,1
0,1,93,0,0,26,221,1
0,1,94,0,2,25,221,1
0,0,1,1,4,35,207,0
0,0,2,1,0,28,207,1
0,0,8,1,0,26,207,1
0,0,11,1,1,6,207,1
0,0,12,1,0,30,207,1
0,0,16,1,2,42,207,1
0,0,20,1,1,5,207,1
0,0,25,1,1,37,207,1
0,0,29,1,5,20,207,1
0,0,32,1,4,39,207,1
0,0,36,1,2,40,207,1
0,0,38,1,4,17,207,0
0,0,39,1,5,30,207,0
0,0,41,1,2,27,207,0
0,0,45,1,4,0,207,1
0,0,46,1,0,7,207,1
0,1,51,1,0,31,207,0
0,1,55,1,2,23,207,1
0,1,57,1,2,30,207,1
0,1,58,1,3,41,207,1
0,1,59,1,2,47,207,1
0,1,60,1,0,16,207,1
0,1,62,1,2,18,207,1
0,1,63,1,3,40,207,1
0,1,69,1,0,22,207,1
0,1,71,1,2,26,207,1
0,1,73,1,4,37,207,0
0,1,74,1,2,12,207,0
0,1,75,1,5,7,207,1
0,1,77,1,2,47,207,0
0,1,79,1,0,24,207,1
0,1,86,1,3,10,207,0
0,1,88,1,4,48,207,1
0,1,90,1,3,47,207,1
0,1,91,1,5,49,207,1
0,1,94,1,2,25,207,1
0,1,97,1,4,0,207,0
0,1,99,1,5,32,207,1
0,0,0,2,3,5,263,1
0,0,1,2,4,35,263,1
0,0,7,2,1,6,263,1
0,0,9,2,0,17,263,1
0,0,10,2,1,31,263,0
0,0,12,2,0,30,263,0
0,0,17,2,3,42,263,1
0,0,18,2,3,41,263,1
0,0,22,2,2,1,263,1
0,0,25,2,1,37,263,1
0,0,26,2,0,42,263,0
0,0,29,2,5,20,263,1
0,0,32,2,4,39,263,1
0,0,33,2,3,3,263,0
0,0,34,2,3,22,263,1
0,0,35,2,2,45,263,1
0,0,45,2,4,0,263,1
0,0,46,2,0,7,263,1
0,0,47,2,0,28,263,0
0,0,48,2,3,5,263,0
0,0,49,2,0,7,263,1
0,1,52,2,0,48,263,1
0,1,57,2,2,30,263,0
0,1,59,2,2,47,263,0
0,1,61,2,0,3,263,1
0,1,63,2,3,40,263,1
0,1,64,2,0,46,263,1
0,1,68,2,4,31,263,1
0,1,69,2,0,22,263,1
0,1,73,2,4,37,263,0
0,1,75,2,5,7,263,1
0,1,81,2,1,10,263,1
0,1,83,2,3,22,263,1
0,1,85,2,3,47,263,1
0,1,87,2,0,19,263,1
0,1,89,2,4,35,263,1
0,1,92,2,4,0,263,1
0,1,93,2,0,26,263,1
0,0,3,3,5,39,225,0
0,0,8,3,0,26,225,1
0,0,10,3,1,31,225,0
0,0,13,3,0,35,225,1
0,0,14,3,4,45,225,1
0,0,15,3,1,3,225,0
0,0,18,3,3,41,225,1
0,0,19,3,2,46,225,0
0,0,21,3,3,20,225,0
0,0,22,3,2,1,225,1
0,0,23,3,1,42,225,0
0,0,30,3,2,46,225,0
0,0,40,3,5,15,225,0
0,0,41,3,2,27,225,0
0,0,42,3,3,7,225,1
0,0,45,3,4,0,225,1
0,0,48,3,3,5,225,0
0,0,49,3,0,7,225,1
0,1,54,3,1,28,225,1
0,1,55,3,2,23,225,1
0,1,61,3,0,3,225,1
0,1,63,3,3,40,225,0
0,1,64,3,0,46,225,0
0,1,66,3,1,22,225,1
0,1,67,3,1,12,225,1
0,1,69,3,0,22,225,0
0,1,71,3,2,26,225,1
0,1,74,3,2,12,225,1
0,1,76,3,5,44,225,1
0,1,78,3,0,18,225,0
0,1,79,3,0,24,225,1
