trial_id,sim_cordel_id,sim_topic_id,sim_rater_id,cordel_id,topic_id,rater_id,intrusion
0,0,3,0,1,49,22,1
0,0,7,0,3,15,22,1
0,0,11,0,1,14,22,1
0,0,12,0,0,34,22,1
0,0,13,0,4,19,22,1
0,0,18,0,4,7,22,0
0,0,20,0,1,19,22,0
0,0,21,0,1,45,22,1
0,0,22,0,5,30,22,0
0,0,25,0,2,9,22,1
0,0,26,0,2,15,22,1
0,0,27,0,2,21,22,1
0,0,28,0,1,22,22,1
0,0,31,0,1,30,22,1
0,0,32,0,2,40,22,1
0,0,39,0,5,8,22,1
0,0,40,0,1,9,22,1
0,0,46,0,2,22,22,0
0,0,47,0,0,15,22,0
0,0,48,0,1,22,22,1
0,1,51,0,3,27,22,1
0,1,54,0,1,10,22,0
0,1,55,0,3,38,22,1
0,1,57,0,4,12,22,1
0,1,67,0,4,30,22,1
0,1,70,0,2,38,22,0
0,1,71,0,1,34,22,1
0,1,72,0,1,33,22,1
0,1,73,0,0,12,22,1
0,1,74,0,1,42,22,1
0,1,77,0,5,6,22,1
0,1,82,0,1,22,22,1
0,1,84,0,2,46,22,1
0,1,85,0,1,5,22,1
0,1,86,0,0,15,22,1
0,1,87,0,0,18,22,0
0,1,94,0,3,20,22,1
0,1,97,0,1,24,22,1
0,0,1,1,5,10,244,1
0,0,2,1,4,14,244,1
0,0,8,1,3,39,244,1
0,0,10,1,1,40,244,1
0,0,11,1,1,14,244,1
0,0,13,1,4,19,244,1
0,0,14,1,1,49,244,1
0,0,17,1,0,17,244,1
0,0,21,1,1,45,244,1
0,0,23,1,4,32,244,1
0,0,29,1,1,2,244,1
0,0,31,1,1,30,244,1
0,0,33,1,3,8,244,1
0,0,34,1,5,5,244,0
0,0,36,1,4,15,244,1
0,0,40,1,1,9,244,1
0,0,41,1,2,37,244,0
0,0,42,1,5,43,244,0
0,0,44,1,3,6,244,1
0,0,47,1,0,15,244,1
0,0,48,1,1,22,244,1
0,1,57,1,4,12,244,1
0,1,62,1,0,17,244,1
0,1,65,1,2,4,244,0
